phones,frequency
f æ k t ə ɹ iː,15
s l ɪ p ə ɹ z,45
k l ɔ θ,37
ɹ ɑ k ɪ ŋ,144
k ʌ p,312
ɹ ʌ n ə w eɪ,6
k l ɑ k,107
ʃ eɪ k,368
s t æ n d,224
s ɪ z ə ɹ z,88
s k w ɛ ɹ z,36
ɛ n iː θ ɪ ŋ,362
k ə m p l eɪ n ɪ ŋ,5
n oʊ t ə s t,34
k ɹ eɪ ɑ n z,230
h ɔ ɹ s,288
v ɔɪ s,94
l uː z,79
ə w eɪ k,42
l ɪ s ə n ɪ ŋ,67
s iː d z,127
ɛ l b oʊ z,20
n ɑ k,87
t aʊ ə ɹ,152
ɹ aɪ p,37
t ə m eɪ t oʊ z,1
h ɪ t ɪ ŋ,25
ð ɛ ɹ ə l,8
b l eɪ m,8
f ə ɹ ɡ ɑ t,126
m uː n,424
d ʌ m p,148
p ʌ p iː,441
s t ɑ ɹ z,131
h ɑ,48
h ɛ l ɪ k ɑ p t ə ɹ,53
ɡ ɔɪ n,55
t ʌ n ə l,137
ʃ eɪ k ə ɹ z,5
k ʊ k iː z,298
p l eɪ t,108
dʒ ɛ l iː f ɪ ʃ,16
f ɔ l,296
ɪ n tʃ,6
dʒ ɪ ɡ ə l,7
k ɪ d iː,2
b ɛ d,586
dʒ oʊ,41
p ə dʒ ɑ m ə z,107
p æ n z,10
ɛ k s t ɹ ə,78
d ɪ ʃ,39
k ɑ ɹ d z,1
f l æ ʃ,21
p ɹ ɑ b l ə m,112
k ʌ v ə ɹ,82
s ɔ ŋ,486
t ɔ ɹ,15
ʃ eɪ p s,165
s t iː l,8
s aɪ l ə n s,23
s t ɹ ɛ s,6
dʒ ə ɹ æ f,143
ɹ ɪ p ɛ ɹ,5
m aɪ t,799
ʌ n d ə ɹ s t æ n d,82
aʊ l,157
θ iː f,3
k l ɔ z,24
h æ v ɪ ŋ,367
k ʊ k ɪ ŋ,92
k uː l,166
s ɪ ŋ,493
h ʌ m,53
l ɑ,344
k ʌ t,292
d iː,4
s ə p oʊ z d,212
ə ɡ oʊ,115
f ɹ aɪ d iː z,2
s k eɪ t ɪ ŋ,23
ɹ oʊ l ə ɹ,33
s aʊ n d,263
l ɔ ŋ ɡ ə ɹ,68
h æ p ə n z,151
b ɹ ɛ k f ə s t,370
d ɔ ɹ ə θ iː,40
b ɹ eɪ,5
ɡ eɪ m z,42
d ʊ ɹ ɪ ŋ,41
p ɪ ŋ k s,5
s w iː p,33
t aɪ m aʊ t,11
ɪ n t uː,949
m ɪ d ə l,98
b uː p,131
s ɜː k ə l z,2
dʒ ɛ f,18
ɹ ʌ f ə l,2
b ɪ l ɔ ŋ,78
p uː ɹ,157
b l æ k,437
dʒ ɛ l oʊ,13
dʒ ɪ n dʒ ə ɹ b ɹ ɛ d,23
k ɹ ʌ ʃ,16
s t æ n d z,25
ɛ l b oʊ,53
p ɑ s t ə,103
b ʌ k ə t,170
s l ʌ ɡ ə ɹ,2
b ʌ n tʃ,62
k ɪ n d ə,283
b ʌ z,30
ɡ ʊ d n ə s,443
t eɪ s t,84
j ɑ ɹ d,53
l æ p,173
k ɹ ʌ ʃ ɪ ŋ,2
p l æ n t s,1
h æ f t ə,1576
w ɑ,5
l ɑ t s,7
t aɪ ə ɹ,34
m ɪ k s t,43
k ɑ ɹ z,20
f l æ t,106
s k eɪ t,16
b æ t ə l,7
n ɔ t iː,38
ə p s ɛ t,51
d ə ɹ ɛ k ʃ ə n z,23
s l iː v z,21
f ɹ ɑ ɡ,278
m ɪ k s ə ɹ,54
p ʌ t ɪ ŋ,344
p æ d,28
æ d v ɛ n tʃ ə ɹ z,10
æ n ə m ə l,249
d ɹ iː m z,35
s ə m t aɪ m z,365
æ n ə m ə l z,4
ɔ l m oʊ s t,329
d ɑ l f ə n,28
æ f t ə ɹ n uː n,64
ɹ ɔ ɹ,65
l ɪ m ə z iː n,2
t ɔ l ɪ s t,10
s k uː t ə ɹ,46
ɪ n t ɹ ə s t ɪ d,32
t ʌ f,58
s ɑ k,102
ʃ aʊ ə ɹ,80
ɑ b s iː n,1
h aʊ s,1080
ɡ ɹ æ m iː,29
m uː v,457
b æ ɡ,399
ʌ ŋ k ə l,164
ə n l ɛ s,47
b ɹ aʊ n,420
j ɛ p,969
s ɪ l ə k oʊ n,1
w ʊ d ə n,19
b l ɑ k,240
t uː b,31
ɹ aʊ n d,1
ɔɪ ŋ k,132
f ɪ ŋ ɡ ə ɹ,220
h ɑ n,22
d ɹ aɪ v,32
d uː d ə l,107
k ɑ k,1
ɹ eɪ,4
ɡ ɑ ɹ d ə n,119
f æ m ə l iː,75
m iː ə,1
ʌ s,457
k ɔ l ɪ ŋ,105
k eɪ k s,64
d ɛ k ə ɹ eɪ t,14
s t æ tʃ uː,21
k ə n s t ɹ ʌ k ʃ ə n,51
k ɑ ɹ p ə n t ɹ iː,3
b ɪ ɡ ə s t,47
s n eɪ k,246
v ɛ dʒ t ə b ə l z,72
k ʊ k s,9
ɑ ɹ t ə s t,23
k ɪ d ɪ ŋ,38
d ɹ ɔ,394
l uː iː z,10
s k w ɛ ɹ,232
s p ə ɡ ɛ t iː,62
p eɪ ʃ ə n s,6
s ɛ k ə n d z,1
d ɛ θ,4
s t ɑ ɹ v,2
ʃ iː d,35
ɹ ɪ l aɪ,1
s k w ɜː ə l,93
k oʊ n,79
b ɹ eɪ s l ə t,53
p ɔ ɹ tʃ,18
t æ ŋ k ə ɹ,28
t aɪ d,18
w ɪ n d oʊ,206
ɡ ɹ oʊ s,16
f eɪ n t,3
m æ ɡ n ə t,33
f ɹ ʌ n t,252
ɛ ɹ,1
k æ ɹ iː,168
b ʌ ɡ z,75
s m æ ʃ,20
s m uː ð,73
dʒ ɛ s ɪ k ə,86
s ɜː k ə l,337
ɡ l æ s,93
s eɪ m,325
t ɹ aɪ æ ŋ ɡ ə l,218
p oʊ n iː,46
m ɪ s,306
w ɛ l k ə m,163
m ʌ s ə l,4
ʃ uː z,2
b ʌ m p s,19
m eɪ k ɪ ŋ,559
h eɪ t,15
m iː n,733
p l ɛ n t iː,40
ɹ ɛ k t æ ŋ ɡ ə l,61
k ɹ ʌ ʃ t,6
s t ɛ p ɪ ŋ,32
m ɛ s iː,78
d æ n s,212
ʃ uː t,1
b ɹ ʌ ʃ,277
ɹ ɑ,6
l eɪ d iː,112
l ɪ l,379
ɡ l uː,127
w ɜː d z,161
p ɛ n t ɪ ɡ ɑ n,25
æ n t s,6
s p aɪ d ə ɹ,250
ʃ eɪ p,152
w uː f,206
ɡ l ʌ v z,46
h æ t s,4
f uː d,531
ɡ ɹ eɪ,48
h æ n d,652
t oʊ n,6
ɑ p,89
ɡ oʊ ə n,6
b ɔ ɹ d,14
h aɪ d ɪ ŋ,254
l iː v z,145
s t eɪ z,59
k ɹ iː m z,3
m ɛ s,206
b ɑ,85
t eɪ k ɪ ŋ,294
s ɜː f ə s,29
p æ l ə t,1
d ɪ ɡ,47
ɛ ɹ ə n d,5
s ə b s k ɹ ɪ p ʃ ə n,1
w ɑ z ə n t,262
dʒ ɛ ɹ iː,2
h aɪ ə ɹ,57
b æ θ t ə b,37
p æ n k eɪ k,36
s t ɹ ɛ tʃ,45
eɪ b ə l,118
ə t æ k,14
f iː d,96
b eɪ,61
tʃ eɪ n dʒ d,55
m oʊ m ə n t,48
s k ɑ,1
ɹ eɪ k ɪ ŋ,24
p ɹ aɪ z,54
ʃ ɛ ɹ,90
k l iː n ɪ ŋ,131
p iː l,62
m ɛ s ə dʒ ə z,3
m ɑ m,5
s t iː l ɪ ŋ,5
k l oʊ s,334
ɡ l ʌ v,33
s p ɪ n,119
h aɪ d,1
k iː p s,85
b ɜː θ d eɪ,487
æ s k ɪ ŋ,70
s eɪ v d,27
k aɪ n d,787
d aʊ n s t ɛ ɹ z,134
t ɛ k s ə s,40
p ɹ ɛ z ə n t s,68
p iː,163
w ɪ s k,17
ɛ n iː w eɪ,127
s æ t ə ɹ d iː,60
t ə m ɑ ɹ oʊ,172
ɹ ɪ k w ɛ s t s,1
t aɪ,1
s t ɑ k ɪ ŋ,17
ɹ eɪ n ɪ ŋ,121
d aɪ,5
s w ɪ z l,1
f ɪ l,58
dʒ ɛ n t ə l,191
m eɪ k ə ɹ,23
p ɑ p k ɔ ɹ n,43
d ɪ z ɜː t ɪ d,1
m ɑ n t ə s ɔ ɹ iː,4
s n iː k ə ɹ z,26
s k ɪ n,49
k ʌ l ə ɹ ɪ ŋ,75
b iː s t,53
b j uː t iː,46
n æ p k ɪ n z,10
m ɛ s ə dʒ,31
ɹ ɛ k t æ ŋ ɡ ə l z,10
θ ɜː d iː,123
ə p ɔɪ n t m ə n t,18
w ɔ n t ɪ d,307
j uː ɛ s eɪ,1
s t eɪ t s,1
j uː n aɪ t ɪ d,11
p eɪ n t s,33
tʃ ɔɪ s,30
ɔ l s oʊ,390
b ɪ l d ɪ ŋ,112
s oʊ p iː,14
m ʌ n d iː,56
f l æ p,101
m ɛ ʒ ə ɹ ɪ ŋ,34
d ɪ ŋ,140
ɹ uː l z,17
ɪ m iː d iː ə t l iː,8
ɛ,59
iː t ɪ ŋ,651
n ɑ k t,55
æ n s ə ɹ d,26
l eɪ d ə l,2
ɹ aɪ t ɪ ŋ,44
s ɔ ɹ t,142
s ʌ m p l eɪ s,7
p ɹ æ k t ə s,36
ɹ æ ŋ,13
oʊ v ə l,48
d ɑ n ə l d,7
p oʊ,62
s æ n d b ɑ k s,19
k w aɪ ə t,129
k ɑ n s ə n t ɹ eɪ t ɪ ŋ,2
b ɹ æ n d,36
w ʌ t ɪ d,65
d ɜː t iː,385
t ɹ æ k t ə ɹ,113
n aɪ f,77
b ʌ t ə ɹ,313
p ʊ ʃ ɪ ŋ,81
ʌ p s,22
w ɑ ʃ b ɔ ɹ d,1
p l ɑ p,40
w ɛ ɹ ɪ ŋ,361
s ʌ m w ʌ n,191
ʃ iː l,182
l uː,61
l ɪ z iː,13
æ ɡ ɹ ə v eɪ t ɪ d,4
ʃ oʊ z,1
æ k s ə d ə n t,73
s t ɪ k ə ɹ,161
p l eɪ t s,20
s iː n ə ɹ iː,1
f aɪ n ə l iː,51
k ʌ t ə ɹ,26
s t ɹ ɔ ŋ,74
d ɪ ʃ ə z,46
ɹ oʊ b ɑ t,60
s m uː tʃ,12
ɪ k s aɪ t ə d,55
j ɛ t,283
k ʌ t ə ɹ z,9
æ p ə l z,123
d ɪ z aɪ n,19
ɡ l æ s ə z,122
p eɪ ʃ ə n t,32
k ʌ t ɪ ŋ,69
ʃ ɑ ɹ p,58
l æ f ɪ ŋ,51
w ɑ n d z,7
eɪ n dʒ ə l,56
s n oʊ m æ n,82
æ s k t,286
p ɛ ɹ,52
f ɪ k s t,79
æ m,440
k ɪ s ɪ ŋ,97
ɹ iː p ɔ ɹ t,2
tʃ oʊ k,10
s t ɛ ɹ k eɪ s,6
m oʊ l iː,10
h oʊ l iː,13
ɹ ə f ɹ ɪ dʒ ə ɹ eɪ t ə ɹ,80
k ɪ s ə z,110
n ɛ k,148
s p ʌ n dʒ,42
w ʌ n d ə ɹ f ə l,79
m æ s t ə ɹ p iː s,8
w ɜː k ɪ ŋ,172
b æ s k ə t b ɔ l,55
d ɹ ɑ p ɪ ŋ,11
p iː k s,2
d ɪ s ɡ ʌ s t ɪ ŋ,6
ɹ uː ə n,19
k ə n d ɪ ʃ ə n ə ɹ,6
dʒ uː s iː,18
b ʌ m,57
d ʌ m,5
ɡ æ s,61
s t ɪ k,255
h ɛ k,16
f ɔ ɹ t iː n,37
p ɑ p t,33
f ɪ f t iː n,60
n iː t l iː,1
k ʌ v ə ɹ z,33
ɹ æ n,124
h ɜː ə k eɪ n,5
s ɪ k s t iː n,40
aɪ z,1
t aɪ m ə ɹ,28
p ɛ b ə l,2
p ɹ aʊ d,37
k oʊ l b iː,1
s ɛ v ə n t iː n,30
æ m b j ə l ə n s,95
k æ b ə n ə t,19
eɪ t iː n,33
s p ʌ n dʒ ə z,7
n aɪ n t iː n,27
s ɛ t ɪ ŋ,16
l ʌ k,40
t w ɛ n t iː,201
p ə t eɪ t oʊ z,40
ɑ p ʃ ə n z,2
p ɑ t,105
s m ɔ l ə ɹ,51
s ʌ m h aʊ,15
p oʊ n iː z,6
h ɑ ɹ d,466
ɪ k s p ɛ k t,6
d ɪ s k,3
d iː h aɪ d ɹ eɪ t ɪ ŋ,1
m ɑ ɹ ʃ m ɛ l oʊ,5
b eɪ ʒ,3
eɪ t θ,16
k ʌ p s,2
tʃ ɑ ɹ dʒ,8
s t ɪ ŋ k s,7
b uː θ,7
m ɪ s ɪ z,143
b ɑ p,23
ɡ ɑ b ə,3
dʒ iː z,2
k ʌ t s,23
ɹ aɪ n ɑ s ə ɹ ə s,33
k j uː t ɪ s t,5
p ɹ ɛ s ɪ ŋ,9
ʃ eɪ d z,8
m ɑ ɹ b ə l,10
b ʌ t ə n z,89
j ʌ k,74
ɑ ɹ m z,4
b æ s k ə t,180
æ ɡ ɹ ə v eɪ t ɪ ŋ,3
p ɪ k ɪ ŋ,46
d ʌ b ə l,35
h ɜː t ɪ ŋ,45
k ɑ t,102
m aʊ z ɪ z,2
ɑ ɹ t,30
t ɜː k iː z,7
m aɪ s,112
s t ɪ k s,74
s oʊ l d,12
s p aɪ d ə ɹ z,29
m ɪ l j ə n z,8
h ʌ ɡ ɪ ŋ,35
f æ b ɹ ɪ k,7
ɑ k t ə ɡ ɑ n,14
m ɛ s ɪ ŋ,6
t ɪ l,22
d aɪ m ə n d,54
ə k ɹ ɔ s,126
h æ n k ɑ k,2
t ɪ k ə l d,6
ʃ ʌ v,4
ɹ eɪ n,182
ɡ ɹ æ s,147
w ɛ n d iː z,3
t ɹ eɪ,72
oʊ p ə n d,69
oʊ n l iː,474
t ɪ k ə l,344
l ɔ n,12
m aʊ ɪ ŋ,12
l aɪ n z,25
b ʌ t ə ɹ f l aɪ,218
m æ n w eɪ l ə,378
l ɪ l iː z,1
p ɜː s ə n z,4
b iː p,251
l ɪ l iː,21
p ɔ ɹ ɪ ŋ,34
l aɪ n ɪ ŋ,7
b ɪ h aɪ n d,283
p ɜː s ə n,193
h ɑ ɹ d ə ɹ,36
d ɪ l ɪ v ə ɹ iː,25
l iː f,92
θ ɹ oʊ n,9
k ɑ ʃ ə n,1
w ɜː k ə ɹ,15
p oʊ s t ə l,3
ʃ oʊ b ɑ k s,2
s t ɹ eɪ n ə ə ɹ,4
s ɪ ɡ n ə l,19
k ə l ɛ k ʃ ə n,8
s p ɛ l ɪ ŋ,13
m oʊ l d ɪ ŋ,4
m aʊ s,252
n iː d ɪ ŋ,2
w ɪ n d oʊ z,51
ɹ æ b ə t,180
s ɪ l v ə ɹ,36
ɹ iː ə ɹ eɪ n dʒ,2
s ɔ,694
t ɹ ʌ b ə l,119
w ɛ n d iː,16
s k ɹ iː m d,7
ɛ n iː w ʌ n,52
s ɪ ŋ k,61
ɹ ɪ n s,15
s t ɹ aɪ p s,22
k w ɛ s tʃ ə n,119
ə ɡ ɛ n s t,39
l iː n,17
f l æ t ə n,11
w ʊ l f,55
t ɪ m b ə ɹ,2
t aɪ n iː,269
j ɪ ɹ,150
w iː n iː,8
ə n t ɪ l,181
s ʌ p ə ɹ,107
k l ɪ p,193
b ɪ b z,1
b l æ k m eɪ l,1
l ɔ ŋ,631
d ɹ uː l,2
f ə ɹ ɡ ɛ t,121
ɡ æ s k ə t,2
s ʌ m w ɛ ɹ,201
dʒ ɑ n,37
ɹ iː s aɪ k ə l ɪ ŋ,16
b iː n z,1
s p ɛ k,5
θ ɪ ŋ k ɪ ŋ,202
f l æ ɡ,33
b aɪ k,108
b ɛ l,86
s t ɪ ŋ k,7
t aʊ ə l z,31
p eɪ p ə ɹ,602
p eɪ n,2
k l oʊ v ə ɹ,13
h aʊ d,28
ɑ ɹ m,146
w ɜː iː,91
d ɔ ɹ ə θ iː z,8
t iː z,1
d ɔ ŋ,24
l iː k ə dʒ,1
ɹ ɛ z ə v w ɑ ɹ,2
f ɪ l ɪ ŋ,7
n ʌ m b ə ɹ z,2
tʃ ʌ m iː,3
p ɔ ɹ,1
ə ɡ ɹ iː,16
p l æ n t,101
b iː n,98
w ɔ ɹ p t,1
m ʌ l tʃ,1
k ɜː v iː,10
θ ɹ iː z,2
dʒ ɪ m,3
dʒ ʌ ŋ ɡ ə l,40
d ʌ m p ɪ ŋ,11
m ɛ d ə s ə n,110
t ɛ l ɪ n,1
s ʌ d z ɪ,9
p ɹ ɛ z ə n t,183
ɹ ʌ n ɪ ŋ,139
s n iː k,8
ɹ æ k ɪ t,1
t ɛ n ə s,29
t ɪ k ə l z,22
ɑ tʃ uː,38
n oʊ t,13
d ɔ ɡ iː z,10
s t oʊ v,39
ə n ɑ,1
n iː t,124
s t æ k s,1
k æ n z,15
s t æ k ɪ ŋ,6
k l aɪ m ɪ ŋ,63
s aɪ k oʊ,3
b ɑ ɹ b ə ɹ z,1
p iː tʃ,47
j ɛ s t ə ɹ d eɪ,314
m ɔ l,73
w ɔ ɹ w ɪ k,1
ɡ ɑ n z oʊ,2
b ɛ l iː,208
d ɹ ɪ p s,4
w ɔ k t,73
b ɪ l t,38
n ʌ t,31
m ɑ p,29
t aʊ n,134
s ɜː k ə s,68
p ə ɹ eɪ d,28
ɑ s ə m,25
s t ɹ oʊ k,7
f uː l d,6
θ æ ŋ k s,244
t ʌ m b ə l,14
k l aʊ n z,4
ʃ ɑ ɹ p ə n,4
ɪ n s t ɹ ʌ k ʃ ə n,2
k l æ s,204
ɪ n s t ɹ ʌ k ʃ ə n ə l,1
ʃ eɪ d,21
ɡ ɪ f t,40
ɡ ɹ aʊ tʃ,4
b æ t ə ɹ iː,112
s n ɪ f t,11
w iː d,33
f aɪ n d z,18
w ʌ n d ə ɹ,225
ɡ ɹ ɪ n,8
ɡ ɹ ɪ n z,1
f ʊ t p ɹ ɪ n t,7
d ɹ eɪ n z,1
k ɪ tʃ ə n,289
tʃ æ n s ə z,4
b æ l k ə n iː,9
d æ ŋ ɡ ə l d,4
b l æ ŋ k ə t,97
j ʌ k iː,126
b ɑ k s ə z,32
k ɛ ɹ,158
ɪ k s p l oʊ ʒ ə n,2
s t ɹ ʌ k tʃ ə ɹ,1
m aɪ s ɛ l f,71
ɹ iː s aɪ k ə l,11
ɹ ʌ n iː,19
k l oʊ z d,117
ɡ uː f ɪ ŋ,2
ɑ ɹ ə n t,229
t ɛ l ɪ ŋ,90
s ɪ k,128
s n ʌ f ə ɹ,1
f ɪ f θ,20
m æ p,119
k ɑ ɹ ɡ oʊ,17
tʃ ɪ l iː,5
w ɔ t ə ɹ z,11
p ɑ ɹ t,320
b ɹ iː ð,23
l ɪ k,24
m ɪ s t eɪ k,35
f æ t,76
p æ s t,22
s l iː p iː,354
p ɹ ɪ v l ə dʒ ə z,1
b ʌ b ə l d,2
m æ d,62
h ɑ k iː,11
d ɪ z æ s t ə ɹ,8
s ɑ k ə ɹ,54
uː t ə,71
m iː n z,252
w ɜː l d,1
f eɪ k ə ɹ,2
k eɪ k,237
l uː p,30
s m ɑ ɹ t,59
l ɪ k ɪ ŋ,17
l æ m,84
m ɛ ɹ iː,9
f l iː s,7
s eɪ ɪ n,3
ɛ v ɹ iː w ɛ ɹ,174
w ɑ ʃ ɪ ŋ,95
ʃ oʊ l d ə ɹ,20
ɹ oʊ l z,22
h æ n d ə l z,5
k ɛ ɹ f ə l iː,36
ɹ ə k ɔ ɹ d,12
ɹ ɪ d ɪ k j ə l ə s,22
w iː k,2
k oʊ ɑ p ə ɹ eɪ t ɪ v,2
p eɪ n t ɪ d,53
æ ɹ oʊ,13
p ɪ n tʃ,56
k ɑ m p ɹ ə m aɪ z,1
l ɜː n,96
tʃ ɪ k ə n,273
f ɹ iː,58
f iː l ɪ ŋ,84
f ɪ ŋ ɡ ə ɹ z,185
f uː l ɪ ŋ,5
d ɹ aɪ v ə ɹ,106
ʌ n d ə ɹ n iː θ,72
k ɜː v,19
p ɑ ɹ t iː,181
p ɪ ŋ k iː,12
b eɪ k ə ɹ,11
f eɪ k ɪ ŋ,5
ʃ ɔ ɹ t s,44
s ɪ p,27
b ə l oʊ n iː,4
ɡ aɪ z,3
tʃ ʌ k t,1
f aɪ v z,2
b ʌ m p iː,35
f l æ t ə ɹ,4
p ɛ p ə ɹ oʊ n iː,12
h ə ɹ eɪ,10
k l oʊ s ə s t,6
b ɛ t,186
d ɹ aɪ ɪ ŋ,15
k ɜː t ə n,17
m ɑ ɹ k,1
k ʌ t aʊ t s,1
s n æ p,65
b ʌ d iː,51
f eɪ s t,4
j ɔ n ɪ ŋ,23
aɪ n s t aɪ n,1
f ɹ iː z ɪ ŋ,22
m aɪ n d,74
j uː z d,277
ʃ ɛ ɹ ə ɹ,3
ɹ ɛ k s,1
b ɑ b,173
k ɑ n s ə n t ɹ eɪ ʃ ə n,1
d iː p,80
d ɪ ɡ ɪ ŋ,26
d ɪ p ɑ ɹ t m ə n t,16
b l oʊ ə ɹ,2
f ɔ ɹ w ə ɹ d,32
d ɪ ɡ z,8
h oʊ,1
ɡ ʌ n,6
s k w ɜː t,37
s aɪ d ɪ d,3
h j uː dʒ,85
k ʌ n t ɹ iː,29
s ɛ l ə ɹ iː,13
k ɑ ɹ d b ɔ ɹ d,20
f ɔ ɹ t iː,30
ɡ aɪ,414
b æ n d eɪ d,10
θ ʌ m,66
m oʊ s t,134
ɹ oʊ d,1
d ɑ l ə ɹ,35
b ɹ aʊ n z,12
m ʌ n iː,157
b ɛ l t,58
b ʌ n,15
s m ɛ l z,41
l ʊ k t,226
p ɪ k tʃ ə ɹ z,3
s ʌ m w ʌ n z,49
k j uː t iː,12
v aɪ ə l ɪ t,463
d aɪ p ə ɹ,241
d ɪ s t ɹ ɔɪ d,9
m ə dʒ ɛ n t ə,7
f ə ɹ ɡ ɛ t ɪ ŋ,6
b l uː z,20
s oʊ d ə,25
h iː l,9
l aɪ ɪ ŋ,53
k ɛ p t,60
s ɔ l t,42
t ɔ k ɪ ŋ,281
k ə ɹ ɛ k t l iː,1
k l oʊ v z,1
d ɪ ɡ ɹ iː z,11
k iː p ə ɹ,22
w ɪ s p ə ɹ,13
m ɪ s t,2
s eɪ dʒ,1
t iː v iː,125
ɔ ɹ d ə ɹ d,15
h ə ɹ s ɛ l f,75
d aɪ ə p ə ɹ z,49
p ʌ m p k ə n z,35
b ɑ ɹ n iː,32
p æ k,127
s t ɪ k ə ɹ z,131
ʃ aʊ t,23
b ɔɪ l ɪ ŋ,29
j uː n ə f ɔ ɹ m,12
t ɹ aɪ d,90
b ɛ d ɹ uː m,57
h æ ŋ ɪ ŋ,71
p l eɪ ə ɹ,30
s t iː m,29
s t ɹ iː t s,11
k ɹ ʌ n tʃ ɪ ŋ,10
m eɪ n iː æ k,4
t iː m,36
s w iː t iː,1390
p oʊ l ə ɹ,91
æ l ə s,18
k ɔ ɹ s,138
b eɪ b iː s ɪ t,9
s iː l,36
b æ ɡ z,43
ə k w ɛ ɹ iː ə m,40
ʃ ɑ k t,5
d ɔ ɹ w eɪ,15
m ʌ ð ə ɹ,371
t ɑ k ə n,14
ə b iː,6
s t æ n d ɪ ŋ,116
ɪ k s p ɹ ɛ ʃ ə n,4
ɔ k w ə ɹ d l iː,1
p ɑ k ə t,269
ɪ n s aɪ d,484
w æ ɡ ə n,79
s m uː ð ɪ ŋ,6
d ɛ s p ə ɹ ə t l iː,5
j æ k,7
t ɹ ɪ k iː,17
f ɔ l t,6
k oʊ ɔ ɹ d ə n eɪ t ɪ ŋ,1
s aʊ n d z,206
aɪ ə n,1
t ɹ ɪ k ɪ ŋ,2
s k ɹ uː,42
k ə m p ɑ ɹ t m ə n t,5
ə m eɪ z ɪ ŋ,40
k oʊ m oʊ,1
p aɪ l z,7
ɡ ɹ æ b,49
b æ d l iː,7
k eɪ n,17
k æ n d iː,119
w ɪ s p ə ɹ ɪ ŋ,14
f ɛ n s,54
tʃ ɜː p ɪ ŋ,6
tʃ ɜː p s,1
tʃ ɜː p,11
s t aɪ l d,4
ɹ iː s aɪ k l ə b ə l,2
ɹ ɪ p,31
aɪ d,34
t ɑ,77
s k ɹ uː d ɹ aɪ v ə ɹ,31
s ɪ t ə n,1
s t ɛ ɹ iː oʊ,9
w ɑ p,1
b ɛ n ə f ɪ t,2
s t ɛ ɹ z,2
p aɪ ɹ ə t,49
d ɹ ɛ s t,148
m æ t,66
s t ɜː,45
tʃ ɛ ɹ iː,79
t iː z ɪ ŋ,3
d æ d,137
p ɪ ŋ,8
s k w ɜː ə l z,33
ɡ ɹ oʊ v ə ɹ z,2
p l æ s t ɪ k s,2
ɑ ɹ k,1
s eɪ f,93
s w ɛ p t,1
f l ʌ d z,3
s ɪ ŋ ɡ ə l,16
s t ɔ ɹ m,43
ə f ɹ eɪ d,62
tʃ ɑ,25
w ɑ tʃ ɪ ŋ,149
l ɪ d z,5
n ɔɪ z iː,61
h æ l ə w iː n,83
s t eɪ k,2
k ɹ ʌ n tʃ iː,77
f ɪ k s ɪ ŋ,55
k æ ɹ ə t,62
oʊ l,6
t ɑ p s,25
k w ɪ k l iː,83
n eɪ l,30
p eɪ s t ɹ iː,4
b ɛ ɹ l iː,24
θ ɜː t iː n,55
m ə ʃ iː n,66
s ɛ l ə ɹ,7
s n iː z ɪ ŋ,9
s w iː t h ɑ ɹ t,49
θ ɪ k,35
b ɹ eɪ k ɪ ŋ,25
h æ m ə ɹ ɪ ŋ,8
p iː k,8
s l ɛ d,14
k ɪ l,2
j ɛ l ɪ ŋ,24
ɹ æ p,14
k ɛ ɹ ə m ə l,9
eɪ b iː s iː z,19
t uː l z,76
m uː v ɪ ŋ,119
p l aɪ ə ɹ z,11
ʃ ʊ ɡ ə ɹ,92
s n eɪ k s,5
b ɑ ð ə ɹ,34
s ʌ d z,6
ɪ k s p l oʊ d ə d,4
s p æ tʃ ʊ l ə,14
p eɪ p ə ɹ z,3
b ɛ t s iː,18
m ɛ ɡ ə,2
n aɪ s l iː,58
b aɪ ɪ ŋ,26
m ʌ f ə n,36
n ɪ k iː,9
t ɪ m iː,3
d ɪ s ə p ɪ ɹ,7
b ʌ k ə l,45
tʃ uː ɪ ŋ,47
ɹ ɪ ŋ k ə l,1
d uː ɪ n,16
ɹ ɪ ŋ k l ɪ,5
s l aɪ d ɪ ŋ,32
v aɪ t ə m ə n,11
ɡ oʊ s t,37
ɹ æ p ə ɹ,8
t oʊ n d,1
p iː t s ə,106
b ɪ n z,5
p ʊ t s,40
s t ʌ,1
ɪ k w ɪ p m ə n t,17
f ɪ l m,7
æ s k,231
ð eɪ l,66
k ə n k ɹ iː t,11
h æ f,167
d ɹ aɪ v w eɪ,12
k ɑ ɹ p ə t,27
p aɪ p s,8
b ɹ ɪ ŋ ɪ ŋ,57
p iː n ə t s,24
w ɔ k ɪ n,1
ɡ ɹ iː n z,16
s ɔ s ə dʒ,7
k ɹ æ m,1
b ɛ ɹ iː z,45
iː t s,82
t ɔ ɹ p iː d oʊ,2
m æ d m æ n,1
l iː s t,52
k æ s ə l,48
p l æ s t ɪ k,68
m æ tʃ,182
t eɪ p,284
s p æ n ɪ ʃ,29
w ʊ d ə n t,183
p ɛ p ə ɹ,37
l ʌ k iː,78
ɛ ɡ p l æ n t,7
d ɹ ʌ m s t ɪ k,5
ə n p l ʌ ɡ,9
b æ θ ɹ uː m,99
l ɪ d,43
ɜː l iː ə ɹ,28
p ʌ k,4
ɹ ɛ d z,10
s t ɹ aɪ k,5
s ɑ f t,128
æ n t,131
w eɪ l ə n d,2
ə l ɑ ɹ m,10
d ə n oʊ,87
n ɑ θ ɪ n,2
j ɛ l oʊ z,7
s iː l ɪ ŋ,38
ɡ ɹ aʊ n d,239
b ɪ ɡ ə ɹ,159
